make,carID,carID_and_Year,D_P,Protection,Doors,Year,Size
Nissan,Nissan_200sx,Nissan_200sx_87,Passenger,manual_belts,2,87,comp
Nissan,Nissan_300zx,Nissan_300zx_91,Passenger,d_airbag,2,91,med
Nissan,Nissan_Axxess,Nissan_Axxess_90,Passenger,passive_belts,?,90,van
Nissan,Nissan_Maxima,Nissan_Maxima_89,Passenger,Motorized_belts,4,89,med
Nissan,Nissan_Maxima_SE,Nissan_Maxima_SE_88,Passenger,passive_belts,4,88,med
Nissan,Nissan_NL_Xev_Pickup,Nissan_NL_Xev_Pickup_88,Passenger,manual_belts,?,88,pu
Nissan,Nissan_Pickup,Nissan_Pickup_87,Passenger,manual_belts,?,87,pu
Nissan,Nissan_Pickup,Nissan_Pickup_89,Passenger,manual_belts,?,89,pu
Nissan,Nissan_Pulsar_Nx,Nissan_Pulsar_Nx_88,Passenger,manual_belts,2,88,lt
Nissan,Nissan_Sentra,Nissan_Sentra_87,Passenger,manual_belts,4,87,lt
Nissan,Nissan_Sentra,Nissan_Sentra_88,Passenger,manual_belts,4,88,lt
Nissan,Nissan_Sentra,Nissan_Sentra_91,Passenger,Motorized_belts,2,91,lt
Nissan,Nissan_Stanza,Nissan_Stanza_90,Passenger,Motorized_belts,4,90,comp
Nissan,Nissan_Stanza,Nissan_Stanza_91,Passenger,Motorized_belts,4,91,comp
Nissan,Nissan_Van_Xe,Nissan_Van_Xe_88,Passenger,manual_belts,?,88,van
Oldsmobile,Oldsmobile_Calais,Oldsmobile_Calais_87,Passenger,passive_belts,4,87,comp
Oldsmobile,Oldsmobile_Delta_88,Oldsmobile_Delta_88_88,Passenger,d_airbag,4,88,med
Peugeot,Peugeot_505S,Peugeot_505S_89,Passenger,Motorized_belts,4,89,med
Peugeot,Peugeot_505,Peugeot_505_87,Passenger,manual_belts,4,87,comp
Peugeot,Peugeot_505_GLS,Peugeot_505_GLS_88,Passenger,passive_belts,4,88,med
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_89,Passenger,manual_belts,4,89,comp
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_91,Passenger,d_airbag,4,91,comp
Plymouth,Plymouth_Sundance,Plymouth_Sundance_87,Passenger,manual_belts,4,87,comp
Plymouth,Plymouth_Voyager,Plymouth_Voyager_87,Passenger,manual_belts,?,87,van
Pontiac,Pontiac_Grand_Am,Pontiac_Grand_Am_87,Passenger,passive_belts,2,87,comp
Pontiac,Pontiac_Le_Mans,Pontiac_Le_Mans_88,Passenger,manual_belts,2,88,lt
Pontiac,Pontiac_Sunbird,Pontiac_Sunbird_87,Passenger,manual_belts,4,87,lt
Pontiac,Pontiac_Trans_Sport,Pontiac_Trans_Sport_90,Passenger,manual_belts,?,90,van
Renault,Renault_Medallion,Renault_Medallion_88,Passenger,manual_belts,4,88,comp
Saab,Saab_900S,Saab_900S_88,Passenger,passive_belts,2,88,comp
Saab,Saab_9000,Saab_9000_87,Passenger,manual_belts,4,87,comp
Saturn,Saturn_SL2,Saturn_SL2_91,Passenger,Motorized_belts,4,91,lt
Subaru,Subaru_GL,Subaru_GL_87,Passenger,manual_belts,4,87,lt
Subaru,Subaru_Justy_DL,Subaru_Justy_DL_87,Passenger,manual_belts,2,87,mini
Subaru,Subaru_Legacy,Subaru_Legacy_90,Passenger,Motorized_belts,4,90,comp
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_89,Passenger,manual_belts,2,89,mpv
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_91,Passenger,manual_belts,2,91,mpv
Toyota,Toyota_4-Runner_4x4,Toyota_4-Runner_4x4_90,Passenger,manual_belts,4,90,mpv
Toyota,Toyota_Camry,Toyota_Camry_87,Passenger,passive_belts,4,87,comp
Toyota,Toyota_Celica,Toyota_Celica_90,Passenger,d_airbag,2,90,lt
Toyota,Toyota_Corolla_Fx,Toyota_Corolla_Fx_88,Passenger,manual_belts,2,88,lt
Toyota,Toyota_Corolla,Toyota_Corolla_89,Passenger,manual_belts,4,89,lt
Toyota,Toyota_Corolla,Toyota_Corolla_91,Passenger,passive_belts,4,91,lt
Toyota,Toyota_Cressida,Toyota_Cressida_89,Passenger,Motorized_belts,4,89,med
Toyota,Toyota_Pickup,Toyota_Pickup_87,Passenger,manual_belts,?,87,pu
Toyota,Toyota_Pickup,Toyota_Pickup_89,Passenger,manual_belts,?,89,pu
Toyota,Toyota_Pickup_4x4,Toyota_Pickup_4x4_91,Passenger,manual_belts,?,91,pu
Toyota,Toyota_Previa,Toyota_Previa_91,Passenger,manual_belts,?,91,van
Toyota,Toyota_Tercel,Toyota_Tercel_88,Passenger,manual_belts,2,88,lt
Toyota,Toyota_Tercel,Toyota_Tercel_91,Passenger,passive_belts,4,91,lt
Toyota,Toyota_Van,Toyota_Van_89,Passenger,manual_belts,?,89,van
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_87,Passenger,manual_belts,2,87,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_88,Passenger,manual_belts,2,88,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_89,Passenger,manual_belts,2,89,lt
Volkswagen,Volkswagen_Passat,Volkswagen_Passat_90,Passenger,Motorized_belts,4,90,comp
Volkswagen,Volkswagen_Vanagon_GL,Volkswagen_Vanagon_GL_88,Passenger,manual_belts,?,88,van
Volvo,Volvo_740_GLE,Volvo_740_GLE_88,Passenger,d_airbag,4,88,med
Yugo,Yugo_GV,Yugo_GV_87,Passenger,manual_belts,2,87,mini
